"","Age","Gender","Weight..kg.","Height..m.","Max_BPM","Avg_BPM","Resting_BPM","Session_Duration..hours.","Calories_Burned","Workout_Type","Fat_Percentage","Water_Intake..liters.","Workout_Frequency..days.week.","Experience_Level","BMI","Daily.meals.frequency","Physical.exercise","Carbs","Proteins","Fats","Calories","meal_name","meal_type","diet_type","sugar_g","sodium_mg","cholesterol_mg","serving_size_g","cooking_method","prep_time_min","cook_time_min","rating","Name.of.Exercise","Sets","Reps","Benefit","Burns.Calories..per.30.min.","Target.Muscle.Group","Equipment.Needed","Difficulty.Level","Body.Part","Type.of.Muscle","Workout","BMI_calc","cal_from_macros","pct_carbs","protein_per_kg","pct_HRR","pct_maxHR","cal_balance","lean_mass_kg","expected_burn","Burns.Calories..per.30.min._bc","Burns_Calories_Bin"
"1",34.91,"Male","65.27","1.62",188.58,157.65,69.05,1,1080.9,"Strength",26.8003771791868,1.5,3.99,2,24.87,2.99,0.01,267.68,106.05,71.63,1806,"Other","Lunch","Vegan",31.77,1729.94,285.05,120.47,"Grilled",16.24,110.79,1.31,"Decline Push-ups",4.99,20.91,"Improves shoulder health and posture",342.58,"Shoulders, Triceps","Cable Machine","Advanced","Legs","Lats","Dumbbell flyes",24.8704465782655,2139.59,0.500432325819433,1.62478933660181,0.741236509662846,0.835984727966911,725.1,47.7773938151448,685.16,72604254381420232704,"Medium"
"2",23.37,"Female","56.41","1.55",179.43,131.75,73.18,1.37,1809.91,"HIIT",27.6550209495582,1.9,4,2,23.48,3.01,0.97,214.32,85.41,56.97,1577,"Other","Lunch","Vegetarian",12.34,693.08,300.61,109.15,"Fried",16.47,12.01,1.92,"Bear Crawls",4.01,16.15,"Strengthens lower abs",357.16,"Back, Core, Shoulders","Step or Box","Intermediate","Chest","Lats","Lateral raises",23.4797086368366,1711.65,0.50085005696258,1.51409324587839,0.551247058823529,0.734269631611213,-232.91,40.8098026823542,978.6184,1.02050570044361e+20,"High"
"3",33.2,"Female","58.98","1.67",175.04,123.95,54.96,0.91,802.26,"Cardio",24.3208211241053,1.88,2.99,1,21.15,1.99,-0.02,246.04,98.11,65.48,1608,"Other","Breakfast","Paleo",42.81,2142.48,215.42,399.43,"Boiled",54.35,6.09,4.7,"Dips",5,21.9,"Builds chest strength",359.63,"Quadriceps, Glutes","Step or Box","Intermediate","Arms","Grip Strength","Standing calf raises",21.148122915845,1965.92,0.50061040123708,1.66344523567311,0.574533644237175,0.708123857404022,805.74,44.6355797010027,654.5266,1.0796070881411e+20,"High"
"4",38.69,"Female","93.78","1.7",191.21,155.1,50.07,1.1,1450.79,"HIIT",32.8135717860891,2.5,3.99,1,32.45,3,0.04,203.22,80.84,54.56,2657,"Other","Lunch","Paleo",9.34,123.2,9.7,314.31,"Fried",27.73,103.72,4.85,"Mountain Climbers",4.01,16.92,"Improves coordination and cardiovascular health",351.65,"Biceps, Forearms","Parallel Bars or Chair","Advanced","Shoulders","Upper","Incline dumbbell flyes",32.4498269896194,1627.28,0.499532962981171,0.862017487737257,0.744154739974493,0.811150044453742,1206.21,63.0074323790057,773.63,89879211568990568458,"High"
"5",45.09,"Male","52.42","1.88",193.58,152.88,70.84,1.08,1166.4,"Strength",17.3073186033846,2.91,4,2,14.83,3,3,332.79,133.05,88.43,1470,"Other","Breakfast","Vegan",23.78,1935.11,116.89,99.22,"Baked",34.16,46.55,3.07,"Bicep Curls",4.99,15.01,"Targets obliques and improves core rotation",329.36,"Chest, Triceps","Wall","Advanced","Abs","Wrist Flexors","Military press",14.8313716613852,2659.23,0.500580995250505,2.53815337657383,0.668404758025094,0.789751007335468,303.6,43.3475035881058,711.4176,52646848199189766144,"Low"
"6",53.19,"Female","105.05","1.84",176.52,130.6,61.84,0.69,453.33,"Yoga",32.049064037735,2.91,3.02,1,31.03,2.99,-0.04,170.86,67.92,46.06,2767,"Other","Snack","Keto",15.89,2382.39,36.38,416.54,"Steamed",20.98,54.64,3.38,"Leg Press",4,25.1,"Builds explosive power",374.56,"Core, Obliques","Resistance Band or Cable Machine","Beginner","Arms","Wrist Flexors","Skull crushers",31.0284735349716,1369.66,0.498985149599171,0.646549262256069,0.599581444018137,0.739859506004985,2313.67,71.3824582283594,516.8928,1.50515947835082e+20,"Very High"
"7",23.17,"Male","58.41","1.78",184.75,140.9,58.01,1.67,1953.9,"Strength",20.5462920052347,2.71,4.96,3,18.44,2.02,-0.03,280.33,112.35,74.97,1867,"Other","Breakfast","Low-Carb",12.48,2220.46,56.69,289.93,"Fried",52.43,46.08,3.81,"Thrusters",5.01,25.04,"Strengthens back and improves posture",328.94,"Core","None or Dumbbells","Advanced","Shoulders","Wrist Flexors","Barbell rows",18.4351723267264,2245.45,0.499374290231357,1.92347200821777,0.654016095944453,0.762652232746955,-86.9000000000001,46.4089108397424,1098.6596,52101061937090404352,"Low"
"8",55.92,"Female","84.07","1.63",183.87,141.12,51.79,1.01,727.81,"Yoga",32.0881762070807,2.88,3.97,2,31.64,2.99,0,262.57,105.41,70.37,2191,"Other","Snack","Low-Carb",2.87,1501.99,74.7,487.67,"Raw",38.57,36.64,3.16,"Turkish Get-ups",4.97,18.95,"Improves core stability and upper body strength",363.56,"Back, Biceps","Pull-up Bar","Intermediate","Back","Lower","Hammer curl",31.6421393353156,2105.25,0.498886118038238,1.25383608897347,0.676332525741975,0.767498776309349,1463.19,57.0934702627073,734.3912,1.17984598180697e+20,"Very High"
"9",24.11,"Female","88.58","1.79",176.78,154.07,65.19,1.76,2062.37,"Strength",27.3672457685546,3.49,4.01,3,27.65,3,0.02,173.08,69.44,45.91,2587,"Other","Lunch","Vegan",0.72,293.36,188.26,123.56,"Boiled",45.85,14.31,2.81,"Glute Bridges",3.99,24.1,"Full body workout",349.51,"Upper Chest, Triceps","Barbell","Beginner","Chest","Middle","Russian twists",27.6458287818732,1383.27,0.500495203394854,0.783924136373899,0.796487140424769,0.871535241543161,524.63,64.3380936982144,1230.2752,85507605198123597824,"High"
"10",39.19,"Female","50.32","1.6",166.88,128.04,49.91,1.17,1157.25,"Strength",21.9093791479325,2.49,2,1,19.66,3.01,0.02,191.06,76.76,50.71,1247,"Other","Lunch","Paleo",50.02,757.93,291.34,415.04,"Grilled",18.95,26.51,1.6,"Step-ups",4.02,16.09,"Builds chest strength",326.31,"Core, Lower Back","Low Bar or TRX","Intermediate","Forearms","Lower Chest","Towel pull-up",19.65625,1527.67,0.500265109611369,1.52543720190779,0.667949046764127,0.767257909875359,89.75,39.2952004127604,763.5654,48794938787793117184,"Low"
